KIC	T1	e_T1	T2	e_T2	R1/D	e_R1/D	R2/R1	e_R2/R1	T2/T1	Qual	Src	KIS	T1j	T2j	R2/R1j	T1k1	T2k1	R2/R1k1	Simbad	_RA	_DE
 6447430	10471	  899	 7590	  654	 3.58e-11	 5.34e-12	 1.401	 0.273	 0.953	00000	1000	2	10471	 7590	 1.401	 8734	 8251	 0.660	Simbad	293.296690	+41.874111
 6448768	 6502	  361	 3946	  627	 3.10e-11	 2.17e-12	 0.916	 0.180	 0.524	00000	1100	1	 6488	 4175	 0.933	 6521	 3831	 0.871	Simbad	293.721830	+41.873131
 6449358	 7230	  409	10077	  861	 5.79e-11	 3.00e-12	 0.450	 0.193	 0.571	00000	1000	3	 7230	10077	 0.450	 9098	 5240	 0.618	Simbad	293.896420	+41.831772
 6449552	 5594	  357	 4784	  664	 2.24e-11	 2.13e-12	 0.582	 0.211	 0.681	00000	1111	3	 5503	 5003	 0.774	 5610	 4469	 0.554	Simbad	293.948940	+41.855461
 6452742	 6241	  367	 5178	  645	 2.01e-11	 2.18e-12	 0.740	 0.221	 0.897	00000	1100	1	 6233	 4988	 0.841	 6246	 5360	 0.685	Simbad	294.883510	+41.800461
 6462057	 7019	  351	 6631	  540	 5.23e-11	 1.86e-12	 0.748	 0.155	 0.954	00001	1110	2	 7032	 6615	 0.737	 6988	 6640	 0.715	Simbad	297.144170	+41.881660
 6462863	 6519	  407	 5743	 1312	 4.90e-11	 4.19e-12	 0.908	 0.277	 0.700	00010	1000	1	 6519	 5743	 0.908	 6470	 6284	 0.713	Simbad	297.333070	+41.891121
 6464285	 5330	  465	 4510	 1224	 4.05e-11	 1.72e-12	 0.626	 0.151	 0.686	00001	1100	1	 4797	 5954	 0.610	 5409	 3756	 0.639	Simbad	297.670960	+41.875980
 6466939	 5214	  357	 5003	  553	 2.55e-11	 2.84e-12	 0.802	 0.248	 0.958	00000	0110	2	 5217	 4985	 0.588	 5272	 5054	 0.822	Simbad	298.257480	+41.850639
 6467389	 5609	  352	 5175	  543	 3.75e-11	 2.84e-12	 1.183	 0.186	 0.951	00000	1110	2	 5884	 4804	 1.340	 5554	 5278	 0.618	Simbad	298.358520	+41.891430
 6468938	 6191	  355	 5876	  551	 3.61e-11	 3.13e-12	 0.709	 0.226	 0.951	00000	1100	1	 6174	 5859	 0.795	 6204	 5895	 0.628	Simbad	298.690000	+41.880852
 6469946	 5084	  353	 5042	  612	 1.83e-11	 2.32e-12	 0.633	 0.265	 0.700	00110	1100	1	 5063	 5049	 0.594	 5124	 5036	 0.699	Simbad	298.906800	+41.835629
 6470516	 6234	  381	 3800	  647	 6.29e-12	 1.70e-12	 0.817	 0.320	 0.546	00000	0100	1	10184	 5656	 0.841	 6234	 3800	 0.817	Simbad	299.023530	+41.821980
 6471048	 5057	  358	 4738	  622	 6.91e-11	 5.91e-12	 0.609	 0.250	 0.951	00000	1000	0	 5057	 4738	 0.609	     	     	      	Simbad	299.128170	+41.828300
 6504095	 5917	  389	 5869	  577	 1.74e-11	 2.24e-12	 0.903	 0.239	 1.013	00000	1100	1	 5903	 5828	 1.002	 5929	 6065	 0.756	Simbad	284.960940	+41.946880
 6504534	 4970	  350	 3759	  589	 4.13e-11	 1.85e-12	 0.240	 0.180	 0.438	00000	1100	1	 4947	 3880	 0.221	 5003	 3714	 0.254	Simbad	285.167110	+41.967079
 6504954	 5822	  368	 6068	  802	 1.65e-11	 2.10e-12	 0.589	 0.245	 0.700	00010	1100	1	 5777	 6131	 0.499	 5968	 6030	 0.675	Simbad	285.371950	+41.993912
 6507541	 5911	  356	 5873	  549	 1.46e-11	 1.97e-12	 0.858	 0.220	 0.994	00000	1110	2	 5876	 5824	 0.888	 5927	 5869	 0.794	Simbad	286.560970	+41.995640
 6516874	 5858	  357	 6022	  551	 1.16e-11	 1.86e-12	 0.795	 0.223	 1.031	00000	1110	2	 5855	 6006	 0.802	 5856	 6026	 0.756	Simbad	290.096950	+41.970680
 6521542	 6391	  370	 6070	  619	 2.26e-11	 2.43e-12	 0.732	 0.233	 0.970	00000	1100	1	 6356	 5887	 0.715	 6437	 6161	 0.755	Simbad	291.528110	+41.915958
 6522750	 5824	  371	 5072	  623	 9.72e-11	 1.32e-11	 0.708	 0.353	 0.842	00000	1000	1	 5824	 5072	 0.708	 6248	 5313	 0.907	Simbad	291.928920	+41.956371
 6523216	 6936	  477	 4090	 1450	 3.52e-11	 3.19e-11	 0.690	 0.217	 0.441	00001	1111	3	 6397	 7141	 0.426	 6968	 3912	 0.755	Simbad	292.083830	+41.915031
 6525196	 6292	  360	 6152	  581	 1.36e-10	 1.96e-11	 0.697	 0.371	 0.980	00100	1000	1	 6292	 6152	 0.697	 6257	 6089	 0.849	Simbad	292.718020	+41.922459
 6525209	 5730	  395	 4695	  622	 2.24e-11	 2.31e-12	 0.920	 0.217	 0.757	00000	1110	2	 5875	 4622	 1.109	 5395	 4818	 0.931	Simbad	292.721370	+41.904919
 6527229	 5693	  374	 5814	  771	 1.33e-11	 1.99e-12	 0.632	 0.249	 0.700	00010	1100	1	 5624	 5951	 0.588	 5781	 5767	 0.676	Simbad	293.334010	+41.937321
 6531485	 6086	  360	 5646	  566	 1.37e-11	 1.88e-12	 0.822	 0.211	 0.959	00100	1110	2	 6152	 5354	 0.915	 6084	 5614	 0.812	Simbad	294.587890	+41.914261
 6531496	 6480	  374	 4494	  576	 1.05e-11	 1.78e-12	 1.121	 0.186	 0.713	00000	1110	2	 6449	 4700	 1.189	 6592	 4328	 1.167	Simbad	294.590520	+41.946510
 6543674	 5920	  366	 5880	  564	 3.00e-11	 3.00e-12	 0.883	 0.234	 0.996	11100	1100	1	 5890	 5854	 0.932	 5929	 5898	 0.834	Simbad	297.541560	+41.950901
 6545018	 6001	  388	 5582	  598	 2.71e-11	 2.86e-12	 1.023	 0.223	 0.943	00100	1100	1	 5881	 5251	 1.112	 6006	 5698	 0.846	Simbad	297.813810	+41.963051
 6546508	 5835	  367	 4133	  610	 1.50e-11	 1.82e-12	 1.022	 0.175	 0.859	00000	1110	2	 5863	 3928	 1.121	 5607	 4802	 0.824	Simbad	298.131410	+41.950989
 6548447	 5244	  352	 5054	  553	 6.06e-11	 4.33e-12	 0.670	 0.218	 0.936	00000	1110	2	 5213	 5011	 0.597	 5313	 5100	 0.875	Simbad	298.542510	+41.953201
 6549491	 8012	  554	 3883	  547	 1.02e-11	 2.08e-12	 3.798	 0.156	 0.700	00010	1100	1	 7434	 4460	 2.242	 8555	 3650	 4.038	Simbad	298.757230	+41.977089
 6579806	 6146	  359	 4316	  667	 1.63e-11	 1.81e-12	 0.655	 0.199	 0.616	00000	1100	1	 6140	 4100	 0.622	 6251	 5149	 0.813	Simbad	281.669160	+42.038639
 6591789	 5631	  356	 4535	  620	 1.83e-11	 1.95e-12	 0.588	 0.206	 0.750	00000	1110	2	 5615	 4452	 0.616	 5687	 4702	 0.686	Simbad	287.046480	+42.000519
 6593363	 6271	  366	 4420	  728	 4.57e-11	 3.07e-12	 0.691	 0.195	 0.440	00000	1110	2	 6282	 3988	 0.671	 6313	 5169	 0.840	Simbad	287.672760	+42.059158
 6593575	 6318	  372	 5122	  609	 1.34e-11	 1.80e-12	 0.943	 0.187	 0.920	00000	1110	2	 6501	 4541	 1.084	 6127	 5696	 0.718	Simbad	287.754940	+42.000340
 6594972	 6141	  363	 4407	  597	 2.49e-11	 2.36e-12	 0.863	 0.207	 0.699	00000	1100	1	 6159	 4408	 0.914	 6080	 4404	 0.677	Simbad	288.293060	+42.057369
 6595662	 5883	  493	 5573	  781	 1.96e-11	 2.37e-12	 0.818	 0.242	 0.700	00010	1100	1	 5645	 5537	 0.999	 5926	 5682	 0.668	Simbad	288.533110	+42.047619
